ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Family_Glottocode,Family_Name
wich1262,Wichí Lhamtés Nocten,South America,-21.988,-63.5971,wich1262,mtp,mata1289,Matacoan
mend1266,Mende (Sierra Leone),Africa,7.90935,-10.9926,mend1266,men,mand1469,Mande
kwak1269,Kwak'wala,North America,50.9269,-127.308,kwak1269,kwk,waka1280,Wakashan
yill1241,Yil,Papunesia,-3.46501,142.178,yill1241,yll,nucl1708,Nuclear Torricelli
saam1283,Saamia,Africa,0.3652,34.0335,saam1283,lsm,atla1278,Atlantic-Congo
nort2815,Northeastern Dinka,Africa,9.27995,31.8392,nort2815,dip,nilo1247,Nilotic
gang1267,Ganggalida,Australia,-17.5446,139.426,gang1267,gcd,tang1340,Tangkic
chac1251,Chácobo,South America,-12.133,-66.7164,chac1251,cao,pano1259,Pano-Tacanan
swah1253,Swahili,Africa,-8.25605,37.624,swah1253,swh,atla1278,Atlantic-Congo
bora1263,Bora,South America,-2.91467,-68.9093,bora1263,boa,bora1262,Boran
lowa1242,Lowa,Eurasia,29.0324,83.8959,lowa1242,loy,sino1245,Sino-Tibetan
mama1278,Mamaindé,South America,-12.986439,-60.101072,mama1278,wmd,namb1299,Nambiquaran
seim1238,Seimat,Papunesia,-1.5297,145.074,seim1238,ssg,aust1307,Austronesian
ward1246,Wardaman,Australia,-15.4155,132.604,ward1246,wrr,yang1287,Yangmanic
ntom1248,Ntomba,Africa,-1.99062,18.265,ntom1248,nto,atla1278,Atlantic-Congo
cent1990,Central Nicobarese,Eurasia,7.94812,93.3921,cent1990,ncb,aust1305,Austroasiatic
deny1238,Denya,Africa,5.97237,9.39989,deny1238,anv,atla1278,Atlantic-Congo
nort2774,Northern Ngbandi,Africa,3.56357,21.85251,nort2774,ngb,atla1278,Atlantic-Congo
arag1245,Aragonese,Eurasia,42.4669,-0.00919,arag1245,arg,indo1319,Indo-European
yaou1238,Yaouré,Africa,6.95282,-5.57851,yaou1238,yre,mand1469,Mande
munj1244,Munji,Eurasia,35.9321,70.9404,munj1244,mnj,indo1319,Indo-European
loxi1235,Loxicha Zapotec,North America,15.8442,-96.6997,loxi1235,ztp,otom1299,Otomanguean
keoo1238,Ke'o,Papunesia,-8.8704,121.256,keoo1238,xxk,aust1307,Austronesian
lang1320,Langi,Africa,-4.71413,35.9517,lang1320,lag,atla1278,Atlantic-Congo
dime1235,Dime,Africa,6.20951,36.3329,dime1235,dim,sout2845,South Omotic
yuwa1244,Hoti,South America,5.63879,-65.4267,yuwa1244,yau,jodi1234,Jodi-Saliban
beli1260,Belize Kriol English,North America,17.3941,-88.6281,beli1260,bzj,indo1319,Indo-European
norw1259,Norwegian Bokmål,Eurasia,61.112,8.886,norw1259,nob,indo1319,Indo-European
ngar1283,Ngarnka,Australia,-17.42,134.73,ngar1283,nji,mirn1241,Mirndi
chay1248,Shawi,South America,-5.63764,-76.8252,chay1248,cbt,cahu1265,Cahuapanan
saba1268,Sabanê,South America,-12.9857,-60.335,saba1268,sae,namb1299,Nambiquaran
kitj1240,Kitja,Australia,-17.5758,127.392,kitj1240,gia,jarr1235,Jarrakan
bugi1244,Buginese,Papunesia,-4.47,119.977,bugi1244,bug,aust1307,Austronesian
nuuc1236,Nuu-chah-nulth,North America,49.67,-126.67,nuuc1236,nuk,waka1280,Wakashan
yawa1261,Yawalapití,South America,-12.5104,-53.4236,yawa1261,yaw,araw1281,Arawakan
kild1236,Kildin Saami,Eurasia,68.2158,35.8348,kild1236,sjd,ural1272,Uralic
haka1240,Haka Chin,Eurasia,22.8735,92.8208,haka1240,cnh,sino1245,Sino-Tibetan
kaxu1237,Kaxuiâna,South America,2.17138,-55.9101,kaxu1237,kbb,cari1283,Cariban
orow1243,Oro Win,South America,-10.737,-64.0299,orow1243,orw,chap1271,Chapacuran
leng1258,Lengola,Africa,-1.95874,25.3343,leng1258,lej,atla1278,Atlantic-Congo
bimo1239,Bimoba,Africa,10.4575,0.06121,bimo1239,bim,atla1278,Atlantic-Congo
fasu1242,Fasu,Papunesia,-6.62687,143.284,fasu1242,faa,,
biri1256,Biri,Australia,-20.1494,146.67,biri1256,bzr,pama1250,Pama-Nyungan
sout2795,Southern Nuni,Africa,11.5186,-2.14385,sout2795,nnw,atla1278,Atlantic-Congo
ngad1261,Ngad'a,Papunesia,-8.79508,120.976,ngad1261,nxg,aust1307,Austronesian
nort2979,Northern Conchucos Ancash Quechua,South America,-8.97356,-77.4146,nort2979,qxn,quec1387,Quechuan
efik1245,Efik,Africa,4.89379,8.38121,efik1245,efi,atla1278,Atlantic-Congo
nyan1313,Nyang'i,Africa,3.4997,33.73651,nyan1313,nyp,kuli1252,Kuliak
park1239,Parkwa,Africa,11.0206,14.0964,park1239,pbi,afro1255,Afro-Asiatic
kahe1238,Kahe,Africa,-3.51412,37.5759,kahe1238,hka,atla1278,Atlantic-Congo
ters1235,Ter Saami,Eurasia,67.2458,38.5061,ters1235,sjt,ural1272,Uralic
lizu1234,Lizu,Eurasia,28.333425,101.350309,lizu1234,,sino1245,Sino-Tibetan
wamb1259,Wambon,Papunesia,-5.44334,140.48,wamb1259,wms,nucl1709,Nuclear Trans New Guinea
yand1253,Yandruwandha,Australia,-28.4744,140.583,yand1253,ynd,pama1250,Pama-Nyungan
kare1335,Karelian,Eurasia,65.1691,30.8655,kare1335,krl,ural1272,Uralic
ambo1250,Ambonese Malay,Papunesia,-3.71342,128.184,ambo1250,abs,aust1307,Austronesian
bung1264,Bunganditj,Australia,-36.5,140.5,bung1264,xbg,pama1250,Pama-Nyungan
sout2918,Southern Sama,Papunesia,4.755836,119.483887,sout2918,ssb,aust1307,Austronesian
tang1336,East-Central Tangkhul Naga,Eurasia,25.0489,94.3567,tang1336,nmf,sino1245,Sino-Tibetan
jaqa1244,Jaqaru,South America,-12.8823,-75.8958,jaqa1244,jqr,ayma1253,Aymaran
yith1234,Yitha Yitha,Australia,-33.89,144.22,yith1234,xth,pama1250,Pama-Nyungan
kirg1245,Kirghiz,Eurasia,42.0,74.0,kirg1245,kir,turk1311,Turkic
alng1239,Alngith,Australia,-12.5324,141.938,alng1239,aid,pama1250,Pama-Nyungan
puri1262,Puri,South America,-20.7329,-43.6069,puri1262,prr,puri1261,Puri-Coroado
kawa1283,Kawaiisu,North America,36.0538,-118.679,kawa1283,xaw,utoa1244,Uto-Aztecan
nige1255,Western Mambila,Africa,6.69736,11.3161,nige1255,mzk,atla1278,Atlantic-Congo
efut1241,Efutu,Africa,,,efut1241,afu,atla1278,Atlantic-Congo
roma1326,Romansh,Eurasia,46.5538,9.92812,roma1326,roh,indo1319,Indo-European
popt1235,Popti',North America,15.6609,-91.6633,popt1235,jac,maya1287,Mayan
sout2982,Southeastern Pomo,North America,38.9354,-122.599,sout2982,pom,pomo1273,Pomoan
iraq1241,Iraqw,Africa,-4.19948,35.2939,iraq1241,irk,afro1255,Afro-Asiatic
thak1245,Thakali,Eurasia,28.7014,83.6466,thak1245,ths,sino1245,Sino-Tibetan
umii1236,Umiida,Australia,-16.615461,124.079216,umii1236,xud,worr1236,Worrorran
gras1249,Grass Koiari,Papunesia,-9.51218,147.437,gras1249,kbk,koia1260,Koiarian
mogh1246,Moghamo,Africa,,,mogh1246,mgo,atla1278,Atlantic-Congo
stan1295,German,Eurasia,48.649,12.4676,stan1295,deu,indo1319,Indo-European
zuni1245,Zuni,North America,35.0056,-108.782,zuni1245,zun,,
mada1282,Mada (Nigeria),Africa,9.02294,8.34119,mada1282,mda,atla1278,Atlantic-Congo
svan1243,Svan,Eurasia,42.9134,42.5915,svan1243,sva,kart1248,Kartvelian
kuru1309,Kuruáya,South America,-3.09561,-52.2303,kuru1309,kyr,tupi1275,Tupian
toda1252,Toda,Eurasia,11.4184,77.0168,toda1252,tcx,drav1251,Dravidian
paco1243,Pacoh,Eurasia,16.3353,107.094,paco1243,pac,aust1305,Austroasiatic
awac1239,Awa-Cuaiquer,South America,1.21652,-78.3401,awac1239,kwi,barb1265,Barbacoan
taid1248,Tai Do-Mene-Yo,Eurasia,19.1801,104.938,taid1248,tyj,taik1256,Tai-Kadai
otuh1238,Otuho,Africa,4.16379,32.6641,otuh1238,lot,nilo1247,Nilotic
bujh1238,Bujhyal,Eurasia,28.0084,84.5068,bujh1238,byh,sino1245,Sino-Tibetan
lazz1240,Laz,Eurasia,41.5004,41.9096,lazz1240,lzz,kart1248,Kartvelian
chua1250,Chuave,Papunesia,-6.17824,145.139,chua1250,cjv,nucl1709,Nuclear Trans New Guinea
gupa1247,Gupapuyngu,Australia,-12.2868,135.337,gupa1247,guf,pama1250,Pama-Nyungan
east1436,Eastern Pahari,Eurasia,27.5947033333,87.6200833333,east1436,nep,indo1319,Indo-European
savo1255,Savosavo,Papunesia,-9.12853,159.814,savo1255,svs,,
pinj1244,Pinjarup,Australia,,,pinj1244,pnj,pama1250,Pama-Nyungan
ngan1300,Ngandyera,Africa,-16.6359,21.1928,ngan1300,nne,atla1278,Atlantic-Congo
mari1417,Marimanindji,Australia,-14.1788,130.561,mari1417,zmm,west2434,Western Daly
lara1260,Larantuka Malay,Papunesia,-8.4746,122.7619,lara1260,lrt,aust1307,Austronesian
cane1242,Canela-Krahô,South America,-6.10712,-45.1299,cane1242,ram,nucl1710,Nuclear-Macro-Je
tain1252,Tai Nüa,Eurasia,21.7837,99.722,tain1252,tdd,taik1256,Tai-Kadai
zapa1253,Záparo,South America,-1.99871,-76.364,zapa1253,zro,zapa1251,Zaparoan
nort2699,Northwestern Kolami,Eurasia,20.1022,78.4934,nort2699,kfb,drav1251,Dravidian
djiw1241,Djiwarli,Australia,-24.10724,116.98858,djiw1241,dze,pama1250,Pama-Nyungan
nige1257,Nigerian Pidgin,Africa,9.65873,4.21068,nige1257,pcm,indo1319,Indo-European
nupe1254,Nupe-Nupe-Tako,Africa,9.18404,5.40031,nupe1254,nup,atla1278,Atlantic-Congo
urar1246,Urarina,South America,-4.44006,-75.4211,urar1246,ura,,
nkon1248,Nkonya,Africa,7.20316,0.3209,nkon1248,nko,atla1278,Atlantic-Congo
sooo1256,Soo,Africa,2.58367,34.7595,sooo1256,teu,kuli1252,Kuliak
binb1242,Binbinka,Australia,,,binb1242,wmb,mirn1241,Mirndi
hakk1236,Hakka Chinese,Eurasia,25.0,116.0,hakk1236,hak,sino1245,Sino-Tibetan
yama1264,Yámana,South America,-55.2748,-68.2648,yama1264,yag,,
lowe1402,Lower Riverland,Australia,,,lowe1402,,pama1250,Pama-Nyungan
gari1254,Garig,Australia,,,gari1254,ilg,iwai1246,Iwaidjan Proper
ngar1288,Ngardi,Australia,,,ngar1288,rxd,pama1250,Pama-Nyungan
gwan1268,Gwandara,Africa,9.20464,7.49931,gwan1268,gwn,afro1255,Afro-Asiatic
bela1255,Belanda Viri,Africa,7.41311,27.6956,bela1255,bvi,atla1278,Atlantic-Congo
ifee1241,Ifè,Africa,7.63568,1.58494,ifee1241,ife,atla1278,Atlantic-Congo
wuch1236,Wu Chinese,Eurasia,29.8621,119.682,wuch1236,wuu,sino1245,Sino-Tibetan
angu1242,Anguthimri,Australia,-12.395,141.755,angu1242,,pama1250,Pama-Nyungan
mokl1243,Moklen,Eurasia,8.16761,98.3176,mokl1243,mkm,aust1307,Austronesian
